title,author,release_year,audience,genre,book_length,rating,number_of_ratings,read,
A Quick Bite (Argeneau #1),Lynsay Sands,2005,Adult, Romantic Comedy, 416 pages,3.9,42772,,
"A Rogue by Any Other Name (The Rules of Scoundrels, #1)",Sarah MacLean,2012,Adult, Romantic Comedy, 328 pages,3.93,40424,,
"A Rogue of One's Own (A League of Extraordinary Women, #2)",Evie Dunmore,2020,Adult, Fantasy, 400 pages,4.03,30188,,
A Room with a View ,E.M. Forster,1908,Young Adult, Contemporary, 320 pages,3.9,169459,,
"A Scot in the Dark (Scandal & Scoundrel, #2)",Sarah MacLean,2016,Adult, Contemporary Romance, 320 pages,3.74,14277,,
A Thousand Boy Kisses ,Tillie Cole,2016,Young Adult, Contemporary, 310 pages,4.16,102788,,
"A Thousand Pieces of You (Firebird, #1)",Claudia Gray,2014,Adult, Contemporary Romance, 320 pages,3.9,55547,TRUE,
"A Torch Against the Night (An Ember in the Ashes, #2)",Sabaa Tahir,2016,Adult, Romantic Comedy, 304 pages,4.25,137939,,
"A Touch of Darkness (Hades & Persephone, #1)",Scarlett St.  Clair,2019,Adult, Paranormal Romance, 432 pages,3.85,142444,,
A Very Large Expanse of Sea ,Tahereh Mafi,2018,Young Adult, Science Fiction, 398 pages,4.13,51694,,
A Walk to Remember ,Nicholas Sparks,1999,Adult, Contemporary Romance, 384 pages,4.19,763488,,
"A Wallflower Christmas (Wallflowers, #4.5)",Lisa Kleypas,2008,Adult, Contemporary Romance, 400 pages,3.87,24035,,
"A Week to Be Wicked (Spindle Cove, #2)",Tessa Dare,2012,Adult, Contemporary Romance, 352 pages,4.11,31300,,
"About That Night (FBI/US Attorney, #3)",Julie James,2012,Adult, Paranormal Romance, 560 pages,4.04,24376,,
Accidentally Engaged,Farah Heron,2021,Young Adult, Contemporary, 326 pages,3.74,10617,,
"Acheron (Dark-Hunter, #14)",Sherrilyn Kenyon,2008,Adult, Contemporary Romance, 352 pages,4.56,58019,,
"Across the Universe (Across the Universe, #1)",Beth Revis,2011,Young Adult, Contemporary, 399 pages,3.77,117352,,
"Act Like It (London Celebrities, #1)",Lucy  Parker,2015,Young Adult, Fiction, 400 pages,3.87,10804,,
"Act Your Age, Eve Brown (The Brown Sisters, #3)",Talia Hibbert,2021,Young Adult, Romance, 387 pages,4.16,64493,TRUE,
"Addicted for Now (Addicted, #3)",Krista Ritchie,2013,Young Adult, Romance, 576 pages,4.26,42708,,
"Addicted to You (Addicted, #1)",Krista Ritchie,2013,Young Adult, Romance, 435 pages,3.84,87419,,
"After (After, #1)",K.A. Tucker,2014,Young Adult, Romance, 592 pages,3.71,263884,,
"After Ever Happy (After, #4)",Anna Todd,2015,Adult, Contemporary Romance, 384 pages,3.99,109402,,
After I Do ,Taylor Jenkins Reid,2014,Adult, Contemporary Romance, 371 pages,3.99,74312,,
"After We Collided (After, #2)",Anna Todd,2013,Adult, Romantic Comedy, 341 pages,3.73,163476,,
"After We Fell (After, #3)",Anna Todd,2014,Adult, Romantic Comedy, 390 pages,3.83,125212,,
"After You (Me Before You, #2)",Jojo Moyes,2015,Adult, Fantasy, 607 pages,3.73,344819,,
"Again the Magic (Wallflowers, #0)",Lisa Kleypas,2004,Adult, Fantasy, 360 pages,4.05,38636,,
Agnes and the Hitman (The Organization #0),Jennifer Crusie,2007,Young Adult, Romance, 320 pages,3.95,19791,,
Ain't She Sweet?,Susan Elizabeth Phillips,2004,Young Adult, Romance, 576 page,4.08,23538,,
"Alex, Approximately ",Jenn Bennett,2017,Young Adult, Fiction, 400 pages,3.98,44969,,
