title,author,release_year,audience,genre,book_length,rating,number_of_ratings,read,
The Soldier's Scoundrel (The Turners #1),Cat Sebastian,2016,Adult, Historical Fiction, 378 pages,4.01,6225,,
The Song of Achilles (Paperback),Madeline Miller,2011,Adult, Contemporary Romance, 352 pages,4.38,950167,TRUE,
The Song of Achilles (Paperback),Madeline Miller,2011,Adult, Contemporary Romance, 389 pages,4.38,950167,,
The Soulmate Equation (Paperback),Christina Lauren,2021,Young Adult, Contemporary Romance, 236 pages,4.04,136796,TRUE,
"The Spanish Love Deception (Spanish Love Deception, #1)",Elena  Armas,2021,Adult, Contemporary Romance, 343 pages,3.97,377868,TRUE,
The Statistical Probability of Love at First Sight (Hardcover),Jennifer E. Smith,2012,Adult, Historical Romance, 376 pages,3.77,113752,,
"The Stopover (The Miles High Club, #1)",T.L. Swan,2019,Adult, Contemporary Romance, 373 pages,4.1,83232,,
"The Suffragette Scandal (Brothers Sinister, #4)",Courtney Milan,2014,Young Adult, Contemporary Romance, 291 pages,4.06,8335,,
"The Sum of All Kisses (Smythe-Smith Quartet, #3)",Julia Quinn,2013,Young Adult, Contemporary Fiction, 352 pages,3.97,24306,,
"The Summer I Turned Pretty (Summer, #1)",Jenny Han,2009,Young Adult, Contemporary Romance, 348 pages,3.84,396929,,
The Summer of Broken Rules (Hardcover),K.L. Walther,2021,Adult, Contemporary Romance, 447 pages,4.07,28866,TRUE,
The Sun Is Also a Star (Hardcover),Nicola Yoon,2016,Adult, Contemporary Romance, 278 pages,4.01,281659,TRUE,
The Sweet Gum Tree (Paperback),Katherine Allred,2005,Adult, Contemporary Romance, 391 pages,4.27,29341,,
"The Sweetest Oblivion (Made, #1)",Danielle Lori,2018,Adult, Contemporary Romance, 320 pages,4.08,143376,,
"The Sweetest Thing (Lucky Harbor, #2)",Jill Shalvis,2011,Adult, Contemporary Romance, 512 pages,4.1,19800,,
The Switch (Kindle Edition),Beth O'Leary,2020,Adult, Contemporary Romance, 324 pages,3.99,95605,,
The Thorn Birds (Mass Market Paperback),Colleen McCullough,1977,Young Adult, Fantasy, 456 pages,4.24,336478,,
The Time Traveler's Wife (ebook),Audrey Niffenegger,2004,Adult, Contemporary Romance, 421 pages,3.99,1703714,TRUE,
"The Tourist Attraction (Moose Springs, Alaska #1)",Sarah Morgenthaler,2020,Young Adult, Mystery, 456 pages,3.56,24886,,
"The Trouble with Hating You (The Trouble with Hating You, #1)",Sajni Patel,2020,Adult, Contemporary Romance, 228 pages,3.83,19351,TRUE,
The Truth About Forever (Paperback),Sarah Dessen,2004,Adult, Contemporary Romance, 512 pages,4.12,218798,,
The Two Lives of Lydia Bird (Hardcover),Josie Silver,2020,Adult, Historical Romance, 400 pages,3.76,56854,,
"The Ugly Duchess (Fairy Tales, #4)",Eloisa James,2012,Adult, Contemporary Romance, 352 pages,3.65,13514,,
"The Unbecoming of Mara Dyer (Mara Dyer, #1)",Michelle Hodkin,2011,Adult, Contemporary Romance, 434 pages,4.03,168341,,
The Undomestic Goddess (Paperback),Sophie Kinsella,2005,Adult, Contemporary Romance, 362 pages,3.85,282087,,
The Unexpected Everything (Hardcover),Morgan Matson,2016,Adult, Contemporary Romance, 321 pages,4,38823,,
The Unhoneymooners (Paperback),Christina Lauren,2019,Adult, Contemporary Romance, 298 pages,3.98,525789,TRUE,
"The Unwanted Wife (Unwanted, #1)",Natasha Anders,2012,Adult, Contemporary Romance, 468 pages,3.87,39577,,
The Upside of Falling (Hardcover),Alex Light,2020,Adult, Contemporary Romance, 390 pages,3.65,63660,,
"The Upside of Unrequited (Simonverse, #2)",Becky Albertalli,2017,Adult, Contemporary Romance, 500 pages,3.91,72060,,
The Villa (Paperback),Nora Roberts,2001,Adult, Historical Romance, 384 pages,3.99,28231,,
"The Vincent Boys (The Vincent Boys, #1)",Abbi Glines,2011,Adult, Contemporary Romance, 400 pages,3.95,73664,,
"The Viscount Who Loved Me (Bridgertons, #2)",Julia Quinn,2000,Adult, Historical Romance, 400 pages,4.04,259483,TRUE,
The Wall of Winnipeg and Me (Kindle Edition),Mariana Zapata,2016,Adult, Contemporary Romance, 673 pages,4.27,181562,,
"The Wallflower Wager (Girl Meets Duke, #3)",Tessa Dare,2019,Adult, Historical Romance, 368 pages,3.97,24959,,
"The Warlord Wants Forever (Immortals After Dark, #0.5)",Kresley Cole,2006,Adult, Paranormal Romance, 124 pages,4.04,58997,,
"The Wedding (Lairds' Fiancées, #2)",Julie Garwood,1995,Adult, Historical Romance, 355 pages,4.16,33476,,
"The Wedding (The Notebook, #2)",Nicholas Sparks,2003,Adult, Contemporary Romance, 286 pages,3.98,151092,,
The Wedding Crasher (Paperback),Mia Sosa,2022,Adult, Contemporary Romance, 320 pages,3.78,15266,,
"The Wedding Date (The Wedding Date, #1)",Jasmine Guillory,2018,Adult, Contemporary Romance, 351 pages,3.6,124943,,
"The Wedding Party (The Wedding Date, #3)",Jasmine Guillory,2019,Adult, Fantasy, 336 pages,3.78,44329,,
"The Wicked King (The Folk of the Air, #2)",Holly Black,2019,Adult, Contemporary Romance, 560 pages,4.34,445996,,
"The Will (Magdalene, #1)",Kristen Ashley,2014,Young Adult, Science Fiction, 384 pages,4.29,29046,,
"The Winner's Crime (The Winner's Trilogy, #2)",Marie Rutkoski,2015,Young Adult, Historical Fiction, 336 pages,4.1,62529,,
"The Winner's Curse (The Winner's Trilogy, #1)",Marie Rutkoski,2014,Young Adult, Fantasy, 464 pages,3.96,105328,,
"The Winner's Kiss (The Winner's Trilogy, #3)",Marie Rutkoski,2016,Young Adult, Contemporary Fiction, 368 pages,4.22,46572,,
"The Winter King (Weathermages of Mystral, #1)",C.L. Wilson,2014,Adult, Romantic Suspense, 496 pages,4.07,18752,,
"The Winter Sea (Slains, #1)",Susanna Kearsley,2008,Adult, Contemporary Romance, 368 pages,4.1,63106,,
"The Wisteria Society of Lady Scoundrels (Dangerous Damsels, #1)",India Holton,2021,Young Adult, Fantasy, 388 pages,3.74,15428,,
